"year","month","month_name","category_name","total_spent","spending_rank"
"2023","1","January  ","Rent","3493.98","1"
"2023","1","January  ","Groceries","1052.34","2"
"2023","1","January  ","Shopping","973.70","3"
"2023","1","January  ","Entertainment","333.17","4"
"2023","1","January  ","Restaurants","312.16","5"
"2023","1","January  ","Healthcare","309.39","6"
"2023","1","January  ","Gas","153.45","7"
"2023","1","January  ","Subscriptions","112.07","8"
"2023","1","January  ","Transportation","82.09","9"
